text,label
Push notifications for notifications stopped working after the update.,technical
"Since the redesign, the notifications tab is completely unresponsive on iOS 18.",technical
"Since the redesign, the dashboard tab is completely unresponsive on iOS 18.",technical
Are there any webinars coming up about reports?,general
My username shows up wrong on the analytics page.,account
Can you explain the extra $9.99 fee on my latest invoice?,billing
How do I enable two-factor authentication on my account?,account
Dark mode breaks the layout on the dashboard dashboard.,technical
Someone else may have accessed my account without permission.,account
I want to delete my account and all associated data.,account
Push notifications for integrations stopped working after the update.,technical
Your new AI assistant feature gave me an incorrect answer twice today.,technical
Uploads to notifications keep failing at around 80 percent.,technical
I want to downgrade from Starter to save money.,billing
I forgot my password and the reset email never arrives.,account
Push notifications for integrations stopped working after the update.,technical
"Since the redesign, the calendar tab is completely unresponsive on iOS 18.",technical
Search in calendar returns no results even for exact matches.,technical
I want to downgrade from Enterprise to save money.,billing
I want to delete my account and all associated data.,account
Can you point me to documentation for the integrations API?,general
I was charged twice for my Basic subscription this month.,billing
I'm getting a 403 Forbidden error when I try to log in.,technical
How do I enable two-factor authentication on my account?,account
Are there any webinars coming up about calendar?,general
The API returns a 500 Internal Server when I call the reports endpoint.,technical
I'm getting a 404 Not Found error when I try to log in.,technical
What are your support hours for the Starter plan?,general
Search in integrations returns no results even for exact matches.,technical
Push notifications for settings stopped working after the update.,technical
The API returns a timeout when I call the calendar endpoint.,technical
"The messaging page has been loading forever, it never finishes.",technical
Your new AI assistant feature gave me an incorrect answer twice today.,technical
Uploads to calendar keep failing at around 80 percent.,technical
"I can't update my profile picture, it keeps failing to upload.",account
I'm getting a timeout error when I try to log in.,technical
Can you merge my two accounts under one email address?,account
"Please update my card on file, the current one expired.",billing
Your new AI assistant feature gave me an incorrect answer twice today.,technical
I forgot my password and the reset email never arrives.,account
"I can't sync my data between devices, settings shows old info.",technical
My account got locked after too many login attempts.,account
Your new AI assistant feature gave me an incorrect answer twice today.,technical
I want to delete my account and all associated data.,account
"Since the redesign, the billing tab is completely unresponsive on iOS 18.",technical
Is there a community forum where I can ask other users questions?,general
Why did my subscription price change from $19.99 to $59.00?,billing
The new checkout flow keeps throwing a payment gateway timeout error.,technical
My account got locked after too many login attempts.,account
"Since the redesign, the reports tab is completely unresponsive on iOS 18.",technical
The API returns a null pointer when I call the analytics endpoint.,technical
Can you merge my two accounts under one email address?,account
What are your support hours for the Enterprise plan?,general
I want to downgrade from Basic to save money.,billing
What's the difference between the Team and enterprise plans?,general
I was billed after cancelling my Enterprise subscription.,billing
"I can't sync my data between devices, reports shows old info.",technical
The mobile app freezes on the export tab on Android.,technical
The mobile app freezes on the settings tab on Android.,technical
"Since the redesign, the export tab is completely unresponsive on iOS 18.",technical
My account got locked after too many login attempts.,account
Please transfer ownership of my workspace to a teammate.,account
I was billed after cancelling my Enterprise subscription.,billing
Search in integrations returns no results even for exact matches.,technical
What's the difference between the Starter and enterprise plans?,general
My payment failed but the app still shows I owe $12.50.,billing
Uploads to calendar keep failing at around 80 percent.,technical
The app crashes every time I try to open the analytics screen.,technical
"Thanks for the quick help yesterday, closing this ticket.",general
"The calendar page has been loading forever, it never finishes.",technical
Push notifications for dashboard stopped working after the update.,technical
The new checkout flow keeps throwing a payment gateway timeout error.,technical
The new checkout flow keeps throwing a payment gateway timeout error.,technical
"The reports page has been loading forever, it never finishes.",technical
I need a refund for the Enterprise plan I cancelled last week.,billing
"I can't sync my data between devices, messaging shows old info.",technical
I'm getting a 500 Internal Server error when I try to log in.,technical
"Thanks for the quick help yesterday, closing this ticket.",general
The API returns a 403 Forbidden when I call the export endpoint.,technical
"The messaging page has been loading forever, it never finishes.",technical
The mobile app freezes on the messaging tab on Android.,technical
I need a refund for the Enterprise plan I cancelled last week.,billing
The new checkout flow keeps throwing a payment gateway timeout error.,technical
Dark mode breaks the layout on the messaging dashboard.,technical
Push notifications for notifications stopped working after the update.,technical
"I can't sync my data between devices, analytics shows old info.",technical
Dark mode breaks the layout on the notifications dashboard.,technical
"The integrations page has been loading forever, it never finishes.",technical
I need to change the email linked to my account.,account
Search in messaging returns no results even for exact matches.,technical
Uploads to analytics keep failing at around 80 percent.,technical
How do I provide feedback about the Enterprise pricing tiers?,general
Search in messaging returns no results even for exact matches.,technical
Can you explain the extra $19.99 fee on my latest invoice?,billing
Dark mode breaks the layout on the messaging dashboard.,technical
The mobile app freezes on the export tab on Android.,technical
The new checkout flow keeps throwing a payment gateway timeout error.,technical
I want to delete my account and all associated data.,account
The API returns a null pointer when I call the notifications endpoint.,technical
Do you have a roadmap for upcoming export improvements?,general
Dark mode breaks the layout on the reports dashboard.,technical
"I can't sync my data between devices, export shows old info.",technical
My username shows up wrong on the messaging page.,account
I need to change the email linked to my account.,account
Dark mode breaks the layout on the calendar dashboard.,technical
My account got locked after too many login attempts.,account
I'm getting a 500 Internal Server error when I try to log in.,technical
The API returns a timeout when I call the dashboard endpoint.,technical
Search in messaging returns no results even for exact matches.,technical
The new checkout flow keeps throwing a payment gateway timeout error.,technical
"I can't sync my data between devices, analytics shows old info.",technical
"I can't sync my data between devices, analytics shows old info.",technical
Push notifications for dashboard stopped working after the update.,technical
I want to delete my account and all associated data.,account
Dark mode breaks the layout on the calendar dashboard.,technical
What's the difference between the Pro and enterprise plans?,general
Uploads to integrations keep failing at around 80 percent.,technical
I need a refund for the Pro plan I cancelled last week.,billing
Please transfer ownership of my workspace to a teammate.,account
The API returns a 500 Internal Server when I call the reports endpoint.,technical
"Since the redesign, the dashboard tab is completely unresponsive on iOS 18.",technical
"I can't sync my data between devices, calendar shows old info.",technical
The app crashes every time I try to open the messaging screen.,technical
What are your support hours for the Starter plan?,general
