text,label
"Please update my card on file, the current one expired.",billing
Can you explain the extra $19.99 fee on my latest invoice?,billing
"The billing page has been loading forever, it never finishes.",technical
I want to delete my account and all associated data.,account
"The dashboard page has been loading forever, it never finishes.",technical
The API returns a null pointer when I call the analytics endpoint.,technical
I was billed after cancelling my Pro subscription.,billing
Is there a discount available for annual Enterprise billing?,billing
I'm getting a 403 Forbidden error when I try to log in.,technical
My payment failed but the app still shows I owe $19.99.,billing
Search in billing returns no results even for exact matches.,technical
I want to delete my account and all associated data.,account
Uploads to billing keep failing at around 80 percent.,technical
I'm getting a 404 Not Found error when I try to log in.,technical
I want to downgrade from Pro to save money.,billing
"I can't sync my data between devices, dashboard shows old info.",technical
I'm getting a 404 Not Found error when I try to log in.,technical
Do you have a roadmap for upcoming settings improvements?,general
I forgot my password and the reset email never arrives.,account
I need a refund for the Team plan I cancelled last week.,billing
Uploads to dashboard keep failing at around 80 percent.,technical
"I can't sync my data between devices, reports shows old info.",technical
I want to delete my account and all associated data.,account
Are there any webinars coming up about settings?,general
My username shows up wrong on the settings page.,account
What's the difference between the Enterprise and enterprise plans?,general
"Thanks for the quick help yesterday, closing this ticket.",general
Can you merge my two accounts under one email address?,account
What are your support hours for the Team plan?,general
Search in analytics returns no results even for exact matches.,technical
I want to delete my account and all associated data.,account
"I can't sync my data between devices, dashboard shows old info.",technical
Push notifications for dashboard stopped working after the update.,technical
Uploads to export keep failing at around 80 percent.,technical
The invoice for April doesn't match what I was quoted.,billing
My payment failed but the app still shows I owe $19.99.,billing
Why did my subscription price change from $9.99 to $59.00?,billing
Do you have a roadmap for upcoming messaging improvements?,general
Push notifications for settings stopped working after the update.,technical
I was charged twice for my Enterprise subscription this month.,billing
Why did my subscription price change from $49.00 to $17.50?,billing
The invoice for March doesn't match what I was quoted.,billing
"The reports page has been loading forever, it never finishes.",technical
"Thanks for the quick help yesterday, closing this ticket.",general
Is there a discount available for annual Starter billing?,billing
Can you explain the extra $29.99 fee on my latest invoice?,billing
I want to delete my account and all associated data.,account
The invoice for April doesn't match what I was quoted.,billing
I need to change the email linked to my account.,account
Can you merge my two accounts under one email address?,account
My payment failed but the app still shows I owe $19.99.,billing
How do I provide feedback about the Basic pricing tiers?,general
I'd like to suggest an improvement to the integrations workflow.,general
Please transfer ownership of my workspace to a teammate.,account
I'd like to suggest an improvement to the calendar workflow.,general
Why did my subscription price change from $12.50 to $59.00?,billing
Is there a discount available for annual Starter billing?,billing
Can you merge my two accounts under one email address?,account
How do I enable two-factor authentication on my account?,account
Is there a discount available for annual Starter billing?,billing
The invoice for April doesn't match what I was quoted.,billing
I'd like to suggest an improvement to the messaging workflow.,general
"I can't sync my data between devices, analytics shows old info.",technical
"The dashboard page has been loading forever, it never finishes.",technical
The invoice for last month doesn't match what I was quoted.,billing
How do I enable two-factor authentication on my account?,account
My account got locked after too many login attempts.,account
"Please update my card on file, the current one expired.",billing
I'd like to suggest an improvement to the calendar workflow.,general
Someone else may have accessed my account without permission.,account
Is there a community forum where I can ask other users questions?,general
How do I provide feedback about the Enterprise pricing tiers?,general
Push notifications for settings stopped working after the update.,technical
I'm getting a timeout error when I try to log in.,technical
Can you merge my two accounts under one email address?,account
The invoice for June doesn't match what I was quoted.,billing
Are there any webinars coming up about calendar?,general
What are your support hours for the Team plan?,general
Is there a discount available for annual Team billing?,billing
Uploads to billing keep failing at around 80 percent.,technical
"Thanks for the quick help yesterday, closing this ticket.",general
Can you point me to documentation for the billing API?,general
"I can't update my profile picture, it keeps failing to upload.",account
What's the difference between the Enterprise and enterprise plans?,general
Can you point me to documentation for the messaging API?,general
Dark mode breaks the layout on the export dashboard.,technical
I'd like to suggest an improvement to the dashboard workflow.,general
How do I enable two-factor authentication on my account?,account
I was billed after cancelling my Enterprise subscription.,billing
The API returns a null pointer when I call the dashboard endpoint.,technical
I want to downgrade from Basic to save money.,billing
Can you explain the extra $29.99 fee on my latest invoice?,billing
Please transfer ownership of my workspace to a teammate.,account
My username shows up wrong on the messaging page.,account
"Please update my card on file, the current one expired.",billing
Search in notifications returns no results even for exact matches.,technical
Just wanted to say the new analytics update looks great!,general
"I can't update my profile picture, it keeps failing to upload.",account
Can you explain the extra $9.99 fee on my latest invoice?,billing
My payment failed but the app still shows I owe $19.99.,billing
"I can't sync my data between devices, settings shows old info.",technical
How do I enable two-factor authentication on my account?,account
"I can't sync my data between devices, calendar shows old info.",technical
The app crashes every time I try to open the notifications screen.,technical
How do I provide feedback about the Basic pricing tiers?,general
Are there any webinars coming up about settings?,general
I need to change the email linked to my account.,account
How do I enable two-factor authentication on my account?,account
My username shows up wrong on the reports page.,account
I'd like to suggest an improvement to the analytics workflow.,general
The API returns a 500 Internal Server when I call the calendar endpoint.,technical
I'm getting a null pointer error when I try to log in.,technical
How do I provide feedback about the Starter pricing tiers?,general
I'd like to suggest an improvement to the reports workflow.,general
"The dashboard page has been loading forever, it never finishes.",technical
I was charged twice for my Team subscription this month.,billing
My account got locked after too many login attempts.,account
How do I provide feedback about the Basic pricing tiers?,general
Uploads to reports keep failing at around 80 percent.,technical
